Title,Ingredients,Removed amounts and measurements
Classic Burrata Pizza,"['1 ball Best Pizza Dough (or Thin Crust Dough)', '1/4 to 1/3 cup Easy Pizza Sauce', '3/4 cup shredded mozzarella cheese', 'Parmesan cheese', '1 4-ounce ball burrata cheese', 'Fresh basil leaves']","['pizza dough','pizza sauce','mozzarella','parmesan','burrata','basil']"
Incredible Jalapeno Pizza,"['1 ball Best Pizza Dough (or Thin Crust Dough)', 'Olive oil', '1/2 cup sliced zucchini (about 1/3 small zucchini)', '1/4 teaspoon kosher salt', '1/4 teaspoon dried oregano', '1 jalapeño pepper', '1/2 corn cob or 1/3 cup corn kernels', '1 handful sliced red onion', '1/2 cup salsa verde', '1/2 cup shredded mozzarella cheese', '1/4 cup feta cheese or queso fresco crumbles', '1 handful fresh cilantro']","['pizza dough','oil','zucchini','salt','oregano','pepper','corn','onion','salsa','mozzarella','feta','cilantro']"
Ultimate Spinach Pizza,"['1 ball Best Pizza Dough (or Thin Crust Dough)', '8 ounces frozen spinach', '1/8 teaspoon garlic powder', '1/4 teaspoon dried oregano', '1/2 cup whole milk ricotta cheese', 'Kosher salt', 'Fresh ground black pepper', '1 handful sliced red onion', '1/2 jarred roasted red pepper (or fresh red bell pepper), diced', '1/2 small garlic clove (1/4 teaspoon minced)', '1/2 cup shredded mozzarella cheese', '1/4 cup shredded Parmesan cheese']","['pizza dough','spinach','garlic','oregano','milk','salt','pepper','onion','pepper','garlic','mozzarella','parmesan']"
Perfect Pan Pizza,"['188 grams (1 1/2 cups) Tipo 00 or all-purpose flour', '1 teaspoon instant or active dry yeast', '1/2 teaspoon kosher salt', '1/2 teaspoon oregano', '1/2 teaspoon garlic powder', '118 grams (1/2 cup) warm water', '1/2 tablespoon olive oil', '4 baby bella mushrooms or one portabella mushroom', '1 tablespoon olive oil', '1/2 teaspoon fennel seeds', '1/2 bell pepper (or 1/4 green and 1/4 red)', '1 handful thinly sliced red onion', '1/2 cup Easy Pizza Sauce', '1/2 cup mozzarella cheese', '1/4 cup shredded Parmesan cheese', 'Dried oregano']","['flour','yeast','salt','oregano','garlic','water','oil','mushroom','oil','fennel','pepper','onion','pizza sauce','mozzarella','parmesan','oregano']"
Flatbread Pizza,"['4 Flatbreads (or purchased flatbreads)', 'Olive oil, for brushing', '2 garlic cloves', '2 cups shredded mozzarella cheese', '1 handful cherry tomatoes (or 1 thin sliced tomato)', '1 handful thin sliced red onion (optional)', '2 handfuls baby arugula', 'Shaved Parmesan cheese, to garnish', 'Balsamic Reduction, to garnish', 'Toasted pine nuts, to garnish']","['bread','oil','clove','mozzarella','tomato','onion','arugula','parmesan','balsamic reduction, to garnish','pine nuts']"
Easy Eggplant Pizza,"['2 pounds globe eggplant*', '2 tablespoons olive oil', '1 teaspoon dried oregano', '1 cup Easy Pizza Sauce', '1/2 cup mozzarella cheese', '1/2 cup Parmesan cheese', '1/4 cup chopped fresh basil, plus more for garnish', 'Kosher salt, to season']","['egg','oil','oregano','pizza sauce','mozzarella','parmesan','basil','salt']"
Best Ricotta Pizza (3 Cheese!),"['1 ball Best Pizza Dough (or Thin Crust Dough)', '1/2 cup whole milk ricotta cheese', '1/8 teaspoon kosher salt, to taste', 'Fresh ground black pepper', '1/2 small garlic clove (1/4 teaspoon minced)', '1/2 cup shredded mozzarella cheese', '1/4 cup shredded Parmesan cheese', '1 handful artichoke hearts from a can', '1 handful fresh basil leaves', '1 teaspoon honey or hot honey']","['pizza dough','milk','salt','pepper','garlic','mozzarella','parmesan','artichoke hearts','basil','honey']"
Naan Pizza,"['4 naan breads (purchased or homemade Garlic Naan)', '1/2 cup Easy Pizza Sauce or purchased pizza sauce', '1 cup shredded mozzarella cheese', '1/4 cup shredded Parmesan cheese', '4 fresh basil leaves', 'Other topping ideas: Peppers & arugula', 'Pesto & basil', 'Sauteed mushrooms & herbs', 'Taco pizza', 'Spinach artichoke', 'Veggie supreme', 'Avocado & goat cheese', 'Mediterranean', 'Breakfast pizza', 'Vegan pizza']","['garlic','pizza sauce','mozzarella','parmesan','basil','arugula','pesto','mushroom','taco','spinach','egg','avocado','mediterranean','breakfast pizza','vegan pizza']"
Everything Basil Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/2 cup Best Basil Pesto (or Cashew Pesto, Walnut Pesto, or Vegan Pesto)', '1/2 cup shredded mozzarella cheese', '1/8 cup Parmesan cheese', '1 pinch dried basil (optional)', 'Semolina flour or cornmeal, for dusting the pizza peel', '1 handful fresh basil leaves']","['pizza dough','pesto','mozzarella','parmesan','basil','flour','basil']"
Best Healthy Pizza Recipe,"['1 ball Easy Thin Crust Dough', '1/2 cup Easy Pizza Sauce', '1/2 yellow bell pepper', '1/2 red bell pepper', '1/4 medium red onion', '1 garlic clove', '1 tablespoon olive oil', '1/2 teaspoon dried oregano, plus more for garnish', '1/2 tablespoon capers, drained', '1/4 cup grated Parmesan cheese', '1/2 cup baby arugula', 'Kosher salt', 'Olive oil', 'Semolina flour or cornmeal, for dusting the pizza peel']","['1 ball easy thin crust dough','pizza sauce','pepper','pepper','onion','garlic','oil','oregano','capers','parmesan','arugula','salt','oil','flour']"
Neapolitan Pizza Recipe,"['1 ball Best Homemade Pizza Dough', '1/3 cup Easy Pizza Sauce', '3 ounces fresh mozzarella cheese (or about 3/4 cup shredded mozzarella)', 'Kosher salt', '2 basil leaves', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','pizza sauce','mozzarella','salt','basil','flour']"
Truffle Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '6 baby bella mushrooms', '1 garlic clove', '1 handful chives', '1 tablespoon olive oil, plus more for drizzling', '3/4 cup shredded mozzarella cheese', '1/4 cup Parmesan cheese', 'Semolina flour or cornmeal, for dusting the pizza peel', 'Truffle oil, for drizzling (here’s the all natural truffle oil we use), or step it up with canned truffles and mushrooms*', 'Chunky sea salt (optional), for garnish']","['pizza dough','mushroom','garlic','chives','oil','mozzarella','parmesan','flour','oil','salt']"
Mushroom Pizza with Fresh Herbs,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1 1/2 cups sliced mixed mushrooms (such as baby portabella, shiitake, and oyster)', '1 tablespoon each finely chopped fresh thyme and oregano, plus more sprigs for topping', '1/4 teaspoon plus 1 pinch kosher salt, divided', '1 tablespoon olive oil, plus more for drizzling', '1 tablespoon fresh lemon juice', '1 to 2 ounces goat cheese, crumbled', '3/4 cup shredded mozzarella cheese', '1 to 2 tablespoons finely chopped chives', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','mushroom','oregano','salt','oil','lemon','cheese','mozzarella','chives','flour']"
Homemade Cheese Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Easy Pizza Sauce', '4 ounces fresh mozzarella cheese', '4 ounces (1 cup) shredded mozzarella cheese', '1/4 teaspoon garlic powder', '1 teaspoon dried oregano', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','pizza sauce','mozzarella','mozzarella','garlic','oregano','salt','flour']"
Spinach Artichoke Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1 garlic clove', '1 tablespoon olive oil, plus more for brushing', '3 cups spinach', '1/2 cup chopped artichokes', '3/4 cup mozzarella', '2 tablespoons Pecorino Romano or Parmesan cheese', '1 pinch salt', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','garlic','oil','spinach','artichokes','mozzarella','parmesan','salt','flour']"
Best Ever Taco Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup refried pinto beans, canned (or Homemade Refried Beans)', '3/4 cup shredded cheddar cheese', '2 green onions', '1 handful canned sliced black olives', '1/2 romaine heart', '1/2 tomato or 3 cherry tomatoes', '2 tablespoons Homemade Ranch Dressing', '3 organic corn tortilla chips', 'Hot sauce, for the garnish', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','beans','cheddar','onion','olives','romaine','tomato','ranch dressing','corn','hot sauce','salt','flour']"
Veggie Supreme Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '4 baby bella mushrooms', '1/2 tablespoon olive oil', '1/2 teaspoon fennel seed', '1/4 green pepper', '1/4 red pepper', '1 handful thinly sliced red onion', '1/2 cup mozzarella', '2 tablespoons feta crumbles', 'Dried oregano, for sprinkling', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','pizza sauce','mushroom','oil','fennel','pepper','pepper','onion','mozzarella','feta','oregano','salt','flour']"
Artichoke and Cherry Tomato Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '3/4 cup shredded cheese', 'Fine grating of Parmesan cheese', '4 artichoke hearts, quartered', '4 cherry tomatoes, quartered', '2 basil leaves, thinly sliced', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','pizza sauce','cheese','parmesan','artichoke hearts','tomato','basil','flour']"
